location,property_value,loan_amount,default_flag,market_volatility
Whitefield,8500000,6000000,0,0.15
Koramangala,12000000,7500000,0,0.10
Indiranagar,15000000,10000000,0,0.12
Electronic City,4500000,3800000,1,0.20
Hebbal,9000000,6500000,0,0.18
Whitefield,7200000,5500000,0,0.15
Koramangala,18000000,12000000,0,0.10
Indiranagar,25000000,15000000,0,0.12
Electronic City,3500000,3000000,1,0.20
Hebbal,11000000,8000000,0,0.18
Whitefield,9500000,7000000,0,0.15
Koramangala,9000000,6000000,0,0.10
Indiranagar,13000000,9500000,0,0.12
Electronic City,5000000,4500000,1,0.20
Hebbal,8000000,5500000,0,0.18
Whitefield,6000000,4800000,1,0.15
Koramangala,15000000,11000000,0,0.10
Indiranagar,20000000,14000000,0,0.12
Electronic City,4000000,3500000,1,0.20
Hebbal,12000000,9000000,0,0.18
